customerID,Churn,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PhoneService,MultipleLines,Cuentas_Diarias
0002-ORFBO,No,One year,Yes,Mailed check,65.6,593.3,Female,0,Yes,Yes,9,DSL,No,Yes,No,Yes,Yes,No,Yes,No,2.1508196721311474
0003-MKNFE,No,Month-to-month,No,Mailed check,59.9,542.4,Male,0,No,No,9,DSL,No,No,No,No,No,Yes,Yes,Yes,1.9639344262295082
0004-TLHLJ,Yes,Month-to-month,Yes,Electronic check,73.9,280.85,Male,0,No,No,4,Fiber optic,No,No,Yes,No,No,No,Yes,No,2.422950819672131
0011-IGKFF,Yes,Month-to-month,Yes,Electronic check,98.0,1237.85,Male,1,Yes,No,13,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,3.2131147540983607
0013-EXCHZ,Yes,Month-to-month,Yes,Mailed check,83.9,267.4,Female,1,Yes,No,3,Fiber optic,No,No,No,Yes,Yes,No,Yes,No,2.7508196721311475
0013-MHZWF,No,Month-to-month,Yes,Credit card (automatic),69.4,571.45,Female,0,No,Yes,9,DSL,No,No,No,Yes,Yes,Yes,Yes,No,2.275409836065574
0013-SMEOE,No,Two year,Yes,Bank transfer (automatic),109.7,7904.25,Female,1,Yes,No,71,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.59672131147541
0014-BMAQU,No,Two year,Yes,Credit card (automatic),84.65,5377.8,Male,0,Yes,No,63,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes,2.775409836065574
0015-UOCOJ,No,Month-to-month,Yes,Electronic check,48.2,340.35,Female,1,No,No,7,DSL,Yes,No,No,No,No,No,Yes,No,1.5803278688524591
0016-QLJIS,No,Two year,Yes,Mailed check,90.45,5957.9,Female,0,Yes,Yes,65,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.9655737704918033
0017-DINOC,No,Two year,No,Credit card (automatic),45.2,2460.55,Male,0,No,No,54,DSL,Yes,No,No,Yes,Yes,No,No,No phone service,1.481967213114754
0017-IUDMW,No,Two year,Yes,Credit card (automatic),116.8,8456.75,Female,0,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.8295081967213114
0018-NYROU,No,Month-to-month,Yes,Electronic check,68.95,351.5,Female,0,Yes,No,5,Fiber optic,No,No,No,No,No,No,Yes,No,2.2606557377049183
0019-EFAEP,No,Two year,Yes,Bank transfer (automatic),101.3,7261.25,Female,0,No,No,72,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes,3.321311475409836
0019-GFNTW,No,Two year,No,Bank transfer (automatic),45.05,2560.1,Female,0,No,No,56,DSL,Yes,Yes,Yes,Yes,No,No,No,No phone service,1.4770491803278687
